category,title_group,english_level,it_experience_years,salary_usd
Analyst,Mid-level,Pre-Intermediate,2.0,2000.0
Quality Assurance,Senior-level,Intermediate,5.0,4000.0
DevOps,Tech leadership,Upper-Intermediate,9.0,10000.0
Management,Senior-level,Advanced,5.0,3500.0
Analyst,Mid-level,Upper-Intermediate,5.0,1500.0
Software Engineer,Mid-level,Advanced,3.0,2000.0
DevOps,Senior-level,Intermediate,10.0,5500.0
Data Scientist,Senior-level,Upper-Intermediate,8.0,7500.0
Data Scientist,Mid-level,Intermediate,5.0,4000.0
Software Engineer,Tech leadership,Upper-Intermediate,8.0,5660.0
Software Engineer,Senior-level,Intermediate,5.0,6000.0
Quality Assurance,Mid-level,Upper-Intermediate,2.0,2900.0
Software Engineer,Mid-level,Intermediate,6.0,3100.0
Analyst,Entry-level,Intermediate,0.5,1100.0
Analyst,Entry-level,Intermediate,0.5,812.0
Management,Mid-level,Advanced,3.0,1837.0
SysAdmin,Senior-level,Intermediate,10.0,2500.0
Data Scientist,Mid-level,Upper-Intermediate,3.0,1500.0
Design,Entry-level,Pre-Intermediate,2.0,1000.0
Software Engineer,Senior-level,Intermediate,12.0,4300.0
Management,Entry-level,Pre-Intermediate,1.0,740.0
Marketing,Senior-level,Advanced,8.0,2670.0
DevOps,Tech leadership,Intermediate,12.0,6800.0
Quality Assurance,Mid-level,Advanced,4.0,2200.0
Quality Assurance,Entry-level,Upper-Intermediate,0.1,530.0
Software Engineer,Mid-level,Intermediate,7.0,1600.0
Customer Support,Mid-level,Advanced,5.0,1500.0
Quality Assurance,Mid-level,Upper-Intermediate,6.0,3000.0
Quality Assurance,Senior-level,Upper-Intermediate,4.0,5000.0
Marketing,Mid-level,Advanced,5.0,2100.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,1500.0
Software Engineer,Tech leadership,Intermediate,10.0,5500.0
Quality Assurance,Entry-level,Upper-Intermediate,1.5,1200.0
DevOps,Mid-level,Intermediate,4.0,3500.0
Analyst,Mid-level,Upper-Intermediate,3.0,2000.0
Quality Assurance,Senior-level,Upper-Intermediate,7.0,3800.0
Quality Assurance,Entry-level,Pre-Intermediate,1.0,1000.0
Software Engineer,Tech leadership,Intermediate,8.0,5400.0
Quality Assurance,Mid-level,Intermediate,3.0,2000.0
SysAdmin,Entry-level,Pre-Intermediate,3.0,500.0
Quality Assurance,Senior-level,Upper-Intermediate,8.0,4700.0
Quality Assurance,Senior-level,Upper-Intermediate,6.0,3850.0
Design,Tech leadership,Upper-Intermediate,6.0,5200.0
Quality Assurance,Mid-level,Upper-Intermediate,6.0,2500.0
Quality Assurance,Mid-level,Intermediate,6.0,3500.0
Analyst,Senior-level,Upper-Intermediate,5.0,3500.0
DevOps,Mid-level,Intermediate,4.0,3000.0
Data Scientist,Mid-level,Upper-Intermediate,2.0,2600.0
Quality Assurance,Entry-level,Intermediate,0.5,550.0
Design,Senior-level,Pre-Intermediate,6.0,2500.0
Analyst,Mid-level,Intermediate,2.0,1692.0
DevOps,Mid-level,Intermediate,3.0,1500.0
